PC1,PC2,PC3
0.157576,-0.124461,0.049094
0.157437,-0.136695,0.038781
0.157481,-0.148157,0.027297
0.157708,-0.158764,0.014594
0.158012,-0.168569,0.000526
0.158294,-0.177491,-0.01496
0.158438,-0.185571,-0.031731
0.158435,-0.192701,-0.049972
0.158442,-0.197987,-0.070264
0.15853,-0.199811,-0.092848
0.158416,-0.196006,-0.116894
0.15762,-0.184504,-0.140162
0.156174,-0.165033,-0.160404
0.154379,-0.138444,-0.176884
0.152272,-0.105333,-0.189377
0.149954,-0.06688,-0.197193
0.147676,-0.025254,-0.199392
0.145538,0.016782,-0.195248
0.143475,0.056659,-0.185353
0.141297,0.092705,-0.171682
0.138896,0.124139,-0.156435
0.136313,0.15089,-0.140555
0.133611,0.172881,-0.12335
0.130952,0.189778,-0.104726
0.128654,0.201433,-0.086374
0.127043,0.208222,-0.069661
0.126185,0.211159,-0.054788
0.125944,0.211522,-0.041781
0.126279,0.210079,-0.030386
0.127298,0.206815,-0.019736
0.129277,0.201303,-0.008522
0.132457,0.192772,0.004768
0.136543,0.180283,0.021159
0.140715,0.163468,0.040882
0.144362,0.142742,0.064517
0.147395,0.118709,0.09233
0.150057,0.0925,0.124382
0.152659,0.065974,0.160741
0.154881,0.04061,0.195384
0.156341,0.017109,0.225279
0.156827,-0.003635,0.249715
0.156482,-0.020665,0.266628
0.155603,-0.034204,0.27704
0.154454,-0.045176,0.280409
0.153305,-0.054256,0.276817
0.152309,-0.061897,0.267733
